Xdb,aw,T
0.04228,0.05,40
0.05303,0.1,40
0.06307,0.18,40
0.07374,0.28,40
0.09113,0.38,40
0.1052,0.47,40
0.12527,0.58,40
0.14329,0.67,40
0.17009,0.74,40
0.21419,0.82,40
0.26635,0.89,40
0.03296,0.06,50
0.04363,0.1,50
0.05098,0.18,50
0.06236,0.27,50
0.0784,0.37,50
0.0965,0.47,50
0.11658,0.57,50
0.13729,0.66,50
0.15934,0.75,50
0.19277,0.79,50
0.24296,0.87,50
0.02023,0.06,60
0.0283,0.12,60
0.03762,0.18,60
0.05169,0.28,60
0.06505,0.38,60
0.08315,0.48,60
0.10117,0.58,60
0.12259,0.67,60
0.1493,0.75,60
0.18013,0.8,60
0.2002,0.83,60
0.01352,0.07,70
0.02158,0.13,70
0.03359,0.22,70
0.04228,0.3,70
0.05833,0.4,70
0.07912,0.51,70
0.09848,0.61,70
0.11721,0.69,70
0.14266,0.77,70
0.17941,0.84,70
0.23695,0.88,70
0.00751,0.07,80
0.0162,0.13,80
0.02355,0.21,80
0.03225,0.31,80
0.04568,0.41,80
0.07042,0.52,80
0.09113,0.6,80
0.10852,0.69,80
0.13665,0.77,80
0.17412,0.83,80
0.22763,0.89,80
0.00356,0.05,90
0.01486,0.16,90
0.01889,0.23,90
0.0283,0.32,90
0.04094,0.43,90
0.06236,0.52,90
0.08109,0.61,90
0.10852,0.71,90
0.12591,0.77,90
0.16005,0.84,90
0.22423,0.9,90
