,40,50,60,70,80,90
0.05,0.04228,,,,,0.00356
0.06,,0.03296,0.02023,,,
0.07,,,,0.01352,0.00751,
0.1,0.05303,0.04363,,,,
0.12,,,0.0283,,,
0.13,,,,0.02158,0.0162,
0.16,,,,,,0.01486
0.18,0.06307,0.05098,0.03762,,,
0.21,,,,,0.02355,
0.22,,,,0.03359,,
0.23,,,,,,0.01889
0.27,,0.06236,,,,
0.28,0.07374,,0.05169,,,
0.3,,,,0.04228,,
0.31,,,,,0.03225,
0.32,,,,,,0.0283
0.37,,0.0784,,,,
0.38,0.09113,,0.06505,,,
0.4,,,,0.05833,,
0.41,,,,,0.04568,
0.43,,,,,,0.04094
0.47,0.1052,0.0965,,,,
0.48,,,0.08315,,,
0.51,,,,0.07912,,
0.52,,,,,0.07042,0.06236
0.57,,0.11658,,,,
0.58,0.12527,,0.10117,,,
0.6,,,,,0.09113,
0.61,,,,0.09848,,0.08109
0.66,,0.13729,,,,
0.67,0.14329,,0.12259,,,
0.69,,,,0.11721,0.10852,
0.71,,,,,,0.10852
0.74,0.17009,,,,,
0.75,,0.15934,0.1493,,,
0.77,,,,0.14266,0.13665,0.12591
0.79,,0.19277,,,,
0.8,,,0.18013,,,
0.82,0.21419,,,,,
0.83,,,0.2002,,0.17412,
0.84,,,,0.17941,,0.16005
0.87,,0.24296,,,,
0.88,,,,0.23695,,
0.89,0.26635,,,,0.22763,
0.9,,,,,,0.22423
